公司名稱,公司網址,職務名稱,職務網址,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具,工作技能,其他條件
杜浦數位安全有限公司,https://www.104.com.tw/company/1a2x6bkavd,Research Engineer,https://www.104.com.tw/job/ajax/content/6y4pq,"['上班族', '應屆畢業生', '學生實習']",2年以上,大學以上,無,['英文:聽 /略懂、說 /略懂、讀 /精通、寫 /中等'],"['Linux', 'C', 'Python']",無,"['1.', 'Required', 'Skills', '至少需兩項具備', '2.', '須具備英文技術文件之閱讀能力']"
順豐管理顧問有限公司,https://www.104.com.tw/company/1a2x6bl67g,網站程式設計師(台中市西屯區),https://www.104.com.tw/job/ajax/content/6xfbe,"['上班族', '應屆畢業生']",1年以上,專科以上,['資訊工程相關'],['英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂'],"['HTML', 'JavaScript', 'jQuery', 'CSS']",無,"['熟悉', 'CSS、JavaScript', '、HTML，熟悉', 'JQuery，熟悉', 'ES6', '特性', '<基本要求>', '1.', '程式架構邏輯清晰。具有分析問題的能力。', '2.', '具有獨立開發能力，並可以與外部技術以及工作同仁溝通協作。', '3.', '具備良好跨部門溝通能力與合作能力', '。', '4.', '具備足夠抗壓性、善於溝通協調。', '<加分條件>', '1.', 'Git', '2.', 'Webpack', '3.', 'VUE.JS/Angular', '(任一)', '4.', '具備關聯式資料庫相關實務經驗，MySQL、SQLServer', 'etc...', '5.', 'TypeScript']"
聯成電腦有限公司(聯成電腦/聯成美語),https://www.104.com.tw/company/13kmziew,Python程式講師-新竹分校,https://www.104.com.tw/job/ajax/content/5y4rk,"['上班族', '應屆畢業生', '研發替代役', '外籍人士', '原住民']",2年以上,專科以上,無,無,"['Python', 'MySQL']",無,['須具備相關經驗2年以上']
國泰金控_國泰金融控股股份有限公司,https://www.104.com.tw/company/wjct48g,數據分析師(組織營運分析),https://www.104.com.tw/job/ajax/content/6w1uv,"['上班族', '應屆畢業生']",不拘,大學以上,無,['英文:聽 /精通、說 /精通、讀 /精通、寫 /精通'],無,無,"['具備能力：', '1.', '具備SQL程式撰寫、Tableau使用經驗', '2.', '具備Python', '(e.g.,', 'Pandas,', 'Numpy,', 'Matplotlib,', 'and', 'Scikit-learn)或R', '(e.g.,', 'dplyr,', 'ggplot2,', 'and', 'relevant', 'machine', 'learning', 'libraries)資料分析程式撰寫能力', '3.', '具備統計學基礎知識(e.g.,', 'descriptive', 'statistics,', 'ANOVA,', 'and', 'hypothesis', 'testing)', '4.', '具備機器學習模型實作經驗(e.g.,', 'cluster', 'analysis,', 'generalized', 'linear', 'regression', 'model,', 'and', 'tree-based', 'models)', '5.', '具備溝通協調、團隊合作、問題解決、自主學習、獨立作業及執行能力', '加分項目：', '1.', '具備網頁爬蟲、文字探勘、自然語言處理相關實作經驗', '2.', '具備商業或數據相關競賽得獎或參賽經驗', '3.', '具備企劃及簡報製作能力', '4.', '具備良好的英語聽力與閱讀能力(全民英檢中高級以上、TOEIC', '800以上、IELTS', '6.5以上、TOEFL', 'iBT', '90以上)']"
台灣富士全錄股份有限公司,https://www.104.com.tw/company/1mpl4c0,RPA技術分析師,https://www.104.com.tw/job/ajax/content/6tejt,"['上班族', '原住民']",1年以上,大學、碩士,['資訊管理相關'],['英文:聽 /中等、說 /中等、讀 /精通、寫 /精通'],"['Excel', 'Outlook', 'PowerPoint', 'Word']",無,"['1.MS', 'Office文書能力', '2.公司提供筆電', '3.熟悉以下任一語言：VBA/VB.NET/JAVA/C#', '4.具備以下任一語言基礎：PowerShell', '/', 'Bash', '/', 'Python', '/', 'JavaScript', '5.具備任一', 'RDBMS', '操作以及SQL', 'Statement基礎', '6.具備前端', 'HTML5', '/', 'CSS', '或任一', 'Front', 'End', 'Framework', '概念', '7.具備', '00P', '/', 'Web', 'Service', '/', 'RESTful', 'API', '概念', '8.具備與團隊以及外部使用者保持良好關係的能力', '9.具備主動積極的心態，並對技術有熱情，有意願學習新技術', 'Nice', 'To', 'Have:', '1.具有', 'Git', '/', 'Bitbucket', '經驗', '2.具有', 'Puppet', '/', 'Ansible', '/', 'Jenkins', '3.具有', 'Docker', '/', 'Kubernetes', '/', 'GCP', '/', 'AWS', '基礎概念', '4.具耔MVC/網路架構/系統架構/資料結構/演算法/網路爬蟲基礎概念', '5.對透過程式/軟體/工具進行流程自動化有興趣', '6.有意願往系統分析師/系統架構師的職涯發展', '7.曾參與過以', 'Agile/Scrum', '進行之專案開發流程']"
天堂遊戲有限公司,https://www.104.com.tw/company/1a2x6bjprf,[RD] Backend Engineer (資訊開發部) -- 組織擴編,https://www.104.com.tw/job/ajax/content/6ta88,"['上班族', '應屆畢業生']",不拘,專科、大學、碩士,無,無,無,無,無
真如國際有限公司,https://www.104.com.tw/company/1a2x6bl2pm,電商ETL資訊人員(周休二日/含全勤薪34000起),https://www.104.com.tw/job/ajax/content/6y6zv,"['上班族', '應屆畢業生', '夜間就讀中', '二度就業']",2年以上,專科以上,"['資訊管理相關', '資訊工程相關']",無,無,無,無
烏龜移動科技股份有限公司,https://www.104.com.tw/company/1a2x6bjz66,資料分析師,https://www.104.com.tw/job/ajax/content/63jf9,"['上班族', '應屆畢業生']",不拘,大學以上,無,['英文:聽 /中等、說 /中等、讀 /中等、寫 /中等'],無,無,"['加分條件', '-', '熟悉', 'NLP,', 'Deep', 'Learning', '-', '熟悉', 'Python', '-', '具Spark', '及', 'GPU', '運算優化經驗尤佳', '-', 'DMP', '操作經驗']"
烏龜移動科技股份有限公司,https://www.104.com.tw/company/1a2x6bjz66,資料科學家,https://www.104.com.tw/job/ajax/content/5kzi3,"['上班族', '應屆畢業生']",不拘,大學以上,無,['英文:聽 /中等、說 /中等、讀 /中等、寫 /中等'],無,無,"['加分條件', '-', '熟悉', 'NLP,', 'Deep', 'Learning', '-', '熟悉', 'Python', '-', '具Spark', '及', 'GPU', '運算優化經驗尤佳', '-', 'DMP', '操作經驗']"
普羅傑有限公司,https://www.104.com.tw/company/1a2x6bkkcm,C#後端主管  專職C# Winform/WPF/ASP.NET,https://www.104.com.tw/job/ajax/content/6qckb,['上班族'],不拘,大學以上,無,無,['C#'],無,無
